,Intercept,Mkt_RF,SMB,HML
FXE,128.04053631292385,-8.855711178190573,38.18659839790078,38.74620718778059
EWJ,38.8356613911554,15.083003932032028,-11.500106973415514,-8.352894004980833
GLD,120.29010621094046,61.42551329565926,-17.51968242904133,-16.23849015346122
QQQ,68.34052142056639,69.36941333264403,-62.54414421005614,-61.0234497654286
SPY,134.46745183768385,104.06844968069005,-102.8533598280917,-72.61611081009778
SHV,103.8103152967207,2.4001489018008666,1.6805023298861892,0.12488067465127983
GAF,55.32591794578343,46.4101705756037,-16.762010051132723,-14.180156834169342
DBA,25.765033664821882,-7.1089037526059755,5.185835389888593,13.559183618996684
USO,284.4717680889289,-591.6309072996896,280.43114210334625,738.7901240900477
XBI,36.43713118792937,33.185999846386935,-18.656981863940622,-47.728258629527375
ILF,30.811243274138416,23.072754975850344,7.093944928050627,2.496551050758884
EPP,30.464826508686258,26.87949333572162,-15.19116888381636,-10.52809698511939
FEZ,29.16629576284048,11.863733109438213,-8.498105124197842,-3.5514294077145117
