Date,AAPL
2007-07-24,4.155820369720459
2007-07-25,4.228837966918945
2007-07-26,4.498108386993408
2007-07-27,4.431869029998779
2007-07-30,4.357310771942139
2007-07-31,4.059388637542725
2007-08-01,4.159210205078125
2007-08-02,4.205114364624023
2007-08-03,4.062162399291992
2007-08-06,4.1669111251831055
2007-08-07,4.160134315490723
2007-08-08,4.128708362579346
2007-08-09,3.893944501876831
2007-08-10,3.851118803024292
2007-08-13,3.937077760696411
2007-08-14,3.821234941482544
2007-08-15,3.69399356842041
2007-08-16,3.6061885356903076
2007-08-17,3.7605419158935547
2007-08-20,3.7654714584350586
2007-08-21,3.930298328399658
2007-08-22,4.082496166229248
2007-08-23,4.038129806518555
2007-08-24,4.168452739715576
2007-08-27,4.07448673248291
2007-08-28,3.9071922302246094
2007-08-29,4.1308674812316895
2007-08-30,4.197720527648926
2007-08-31,4.266426086425781
2007-09-04,4.441420555114746
2007-09-05,4.21343469619751
2007-09-06,4.159518241882324
2007-09-07,4.059696674346924
2007-09-10,4.211892604827881
2007-09-11,4.174305438995361
2007-09-12,4.2162065505981445
2007-09-13,4.226988792419434
2007-09-14,4.276591777801514
2007-09-17,4.264267921447754
2007-09-18,4.341599941253662
2007-09-19,4.336977958679199
2007-09-20,4.322803497314453
2007-09-21,4.441110610961914
2007-09-24,4.568351745605469
2007-09-25,4.719318389892578
2007-09-26,4.706684589385986
2007-09-27,4.75998592376709
2007-09-28,4.728250980377197
2007-10-01,4.816673755645752
2007-10-02,4.881679058074951
2007-10-03,4.865350246429443
2007-10-04,4.813591957092285
2007-10-05,4.974106788635254
2007-10-08,5.173133373260498
2007-10-09,5.171592712402344
2007-10-10,5.138625144958496
2007-10-11,4.9981369972229
2007-10-12,5.152797698974609
2007-10-15,5.144481182098389
2007-10-16,5.224583148956299
2007-10-17,5.3222479820251465
2007-10-18,5.345354080200195
2007-10-19,5.250462532043457
2007-10-22,5.37185001373291
2007-10-23,5.7353949546813965
2007-10-24,5.728309631347656
2007-10-25,5.631261348724365
2007-10-26,5.690414905548096
2007-10-29,5.7024312019348145
2007-10-30,5.761275291442871
2007-10-31,5.852161884307861
2007-11-01,5.7748308181762695
2007-11-02,5.788079738616943
2007-11-05,5.736013412475586
2007-11-06,5.90885066986084
2007-11-07,5.739709854125977
2007-11-08,5.406048774719238
2007-11-09,5.094879150390625
2007-11-12,4.737186431884766
2007-11-13,5.236290454864502
2007-11-14,5.117676734924316
2007-11-15,5.061912536621094
2007-11-16,5.126302719116211
2007-11-19,5.05112886428833
2007-11-20,5.202092170715332
2007-11-21,5.19007682800293
2007-11-23,5.284968852996826
2007-11-26,5.315777778625488
2007-11-27,5.385713577270508
2007-11-28,5.552390098571777
2007-11-29,5.6777825355529785
2007-11-30,5.614008903503418
2007-12-03,5.510492324829102
2007-12-04,5.539759635925293
2007-12-05,5.715061187744141
2007-12-06,5.852161884307861
2007-12-07,5.986180782318115
2007-12-10,5.983407974243164
2007-12-11,5.80872106552124
2007-12-12,5.880198001861572
