,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-24,-3.6604904017937745,-1.4399324453297058,-4.991442404738775,-3.3999858490915167,-6.012144238311211,-3.003731705771234,-2.745701392233472,-0.5908350894300323,5.145283769575935,-1.7335411340087827,-1.5615290788443323,-1.5121416108247563,-1.1051069538073166
2007-07-25,0.08286840603761561,0.13592145144620396,0.3768046312013793,0.44879602244170824,0.7924165230732773,0.17813439060068678,0.23614303860516062,0.025526512992616348,-0.9119906585232799,0.148312225671995,0.06520698952182641,0.15590551181003223,0.1056581030601381
2007-07-26,-5.968844796752875,-2.6505242046696775,-8.957242660137927,-6.695413259091013,-11.654883214267574,-5.254125630356458,-5.004798768881168,-0.9468915735412308,13.881240571861488,-3.3589578632194845,-2.6709723051397813,-2.8155341687196778,-2.021765664828527
2007-07-27,-4.055287162203766,-1.8509738335431627,-6.235372108502076,-4.759137639055158,-8.203874506076195,-3.6391469743502234,-3.4934056832145863,-0.624561107016427,11.3140828397591,-2.4358332589171634,-1.8468384454237987,-1.9689347416346408,-1.4050254179321888
2007-07-30,2.485890352732389,1.2089061430511427,4.017046160295778,3.1916633047404903,5.49270567499911,2.3137638189981935,2.2685556498438624,0.38569374875101625,-7.8649472757073875,1.59563132532154,1.1577887099957573,1.2936725908894686,0.9173857033017006
2007-07-31,-2.422784599093313,-1.1631250497469756,-3.8610948603353124,-3.0351641978800865,-5.281216784429634,-2.227539773637352,-2.1794105106849995,-0.39175399741335404,6.479635375601223,-1.4671997621838178,-1.1114212113349224,-1.2452463292171498,-0.887854015980603
2007-08-01,-0.026102977897867988,0.20223832663990945,0.5422951835266067,0.7888965003619187,1.2525074196837336,0.23116811889641495,0.3523047726985549,-0.01953391495617808,-4.045312971996761,0.3766105280539806,0.0791217481638056,0.2344611434616518,0.14531262688057248
2007-08-02,1.3662983171345275,0.6525882350105243,2.19545978510357,1.7360414141195235,2.9160704699587288,1.2722508564870632,1.2339959304016803,0.19019823229876145,-5.468848366088276,0.947778934081611,0.6475164157735913,0.6945425184440785,0.4885596735991493
2007-08-03,-8.454828397742423,-3.4495281829411297,-11.848671499084297,-8.303540297496081,-14.665768280358002,-7.072617411919335,-6.551675956040882,-1.37466314839479,13.11293941832728,-4.153190339609784,-3.645736808357201,-3.637705142820441,-2.647588290273673
2007-08-06,2.0065647953523746,1.3424948658871403,4.231633893234429,3.96836510746465,6.681208535205707,2.2975552252897176,2.4696461370492684,0.29404442122288954,-12.83656385811681,1.9217534913894685,1.0837345848209006,1.468543023605345,1.0077130020990221
2007-08-07,1.437901676092275,0.7407464501384746,2.4772937691555805,2.0609595871648225,3.366898557984453,1.4178580660457254,1.401065043526375,0.1733982511129828,-8.180008455854093,1.189657709790018,0.7207419363407745,0.7903734571164959,0.5458763405524663
2007-08-08,4.090295826087474,1.7018237910624745,5.899772653994195,4.250083519163963,7.176174888835469,3.51830620204939,3.2583066416895896,0.5738038864218923,-12.368947215330465,2.4325755459583434,1.8413545294548173,1.7869203120936792,1.276742311076806
2007-08-09,-5.138730910188434,-2.654598313868496,-8.662760551796808,-7.10500906712601,-12.4018365283927,-4.920434359166713,-4.936203605910862,-0.8593992743748582,14.797882103557981,-3.2837253198526093,-2.4069384988196587,-2.8628924884857065,-2.0315789691515502
2007-08-10,1.6564402103305946,0.3922012204502205,1.486178095217457,0.45397338673147136,1.2429474949491155,1.001353943303892,0.7618325412107194,0.36270431179408724,7.304386382702901,-0.003371677270993634,0.5415972830048837,0.3944249604568416,0.3371562916046746
2007-08-13,-0.9801331161255488,-0.19071220832818148,-0.8493667446309205,-0.22336715314893377,-0.3562266230022841,-0.6042210684321885,-0.4112057487001563,-0.12349298243554363,0.5932324631033883,-0.30667558635920367,-0.3702554151243863,-0.17398078990429566,-0.14013048559747998
2007-08-14,-4.364115719708573,-1.9156301004529661,-6.487820957785989,-4.809171027307128,-8.386490947011888,-3.8145867167316845,-3.619985245033155,-0.6946355495949825,9.677913354691713,-2.4121882480257075,-1.9429009577071705,-2.0329297771762125,-1.4623602723896054
2007-08-15,-3.3618218443270926,-1.5266278104302757,-5.140763304005954,-3.905689031140603,-6.76418906807505,-3.002326541380833,-2.8795205332388796,-0.5263879294186001,8.739743524994433,-1.972038155435587,-1.521928931594568,-1.6242122698593155,-1.1616543940160515
2007-08-16,5.140600528742448,1.655906935238273,5.980057099124153,3.3271640264411833,6.262435755578086,3.758093399374965,3.2015798935076036,0.8945634670795999,2.140763536515447,1.6071656025093133,2.009871951878269,1.7056565794901952,1.2999894003887713
