,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-24,-922.4435812520254,-362.86297622308575,-1257.8434859941704,-856.7964339710617,-1515.0603480544246,-756.9403898543504,-735.1744778215284,-148.8904425363679,1296.6115099331257,-436.85235458504474,-393.5053278687713,-381.0596895349778,-278.4869523594434
2007-07-25,20.8828383214778,34.252205764443175,94.95476706274621,113.0965976553103,199.68896381446518,44.88986643137263,54.71094532626589,6.432681274139117,-229.82164594786823,37.3746924124563,16.432161359500068,39.28818832626247,26.62584197115458
2007-07-26,-1504.1488887817122,-667.9320995767582,-2257.225150354754,-1687.2441412909338,-2937.030569995427,-1324.0396588498247,-1312.7092482305286,-238.61667653238968,3498.07262410908,-846.4573680706085,-673.0850208952238,-709.5146150289888,-509.4849475367882
2007-07-27,-1021.9323648753402,-466.44540605287665,-1571.3137713425208,-1199.302685041899,-2067.3763755311993,-917.0650375362542,-911.5176303964628,-157.38939896813935,2851.1488756192816,-613.8299637424757,-465.40328824679654,-496.1715579672187,-354.06640531891117
2007-07-30,626.4443688885558,304.64434804888765,1012.2956323945339,804.2991527946028,1384.161830099774,583.068482387543,586.3973655887198,97.19482468525587,-1981.9667134782553,402.099088361854,291.76275491893017,326.00549435085424,231.18119723202824
2007-07-31,-610.5417189715088,-293.1075125362375,-972.9959048044963,-764.8613778657812,-1330.8666296762665,-561.3400229566113,-565.120656012873,-98.72200734816488,1632.8681146515034,-369.7343429379593,-280.07814525639986,-313.8020762184963,-223.7392120271115
2007-08-01,-6.5779504302648135,50.9640583132569,136.6583862487035,198.8019180912033,315.6318697602996,58.2543659618954,74.95026732667067,-4.922546568956967,-1019.4188689431841,94.90585438701886,19.938680537278724,59.0842072191274,36.61878197390417
2007-08-02,344.3071759178979,164.45223522265206,553.2558658460994,437.4824363581195,734.849758429599,320.60721583473884,318.8902331355127,47.929954539287934,-1378.1497882542399,238.8402752991992,163.17413677494474,175.02471582901094,123.11703774698566
2007-08-03,-2130.616756231076,-869.2811021011643,-2985.8652177692393,-2092.4921549690116,-3695.7736066502152,-1782.2995878036704,-1743.839080889773,-346.4151133954864,3304.4607334184548,-1046.6039512580967,-918.7256757060135,-916.701703514522,-667.1922491489647
2007-08-06,505.65432842878965,338.3087062035586,1066.3717410950717,1000.0280070810909,1683.664550871835,578.9839167730055,611.2736540533676,74.09919414816771,-3234.8140922454318,484.28188265952315,273.1011153748659,370.0728414147916,253.9436765289531
2007-08-07,362.35122237524973,186.66810543489555,624.2780298272064,519.3618159655349,848.4584366120812,357.30023264352127,357.0417691308054,43.696359280471874,-2061.3621308752236,299.7937131821923,181.62696795787485,199.17411254477514,137.5608378192217
2007-08-08,1030.754548174037,428.8595953477437,1486.7427088065383,1071.021046829318,1808.3960719865377,886.6131629164445,860.277731608972,144.59857937831723,-3116.9746982632582,613.0089800947707,464.02134142261343,450.30392346255917,321.73906239135545
2007-08-09,-1294.9601893674703,-668.9587750948597,-2183.0156590527877,-1790.4622849157531,-3125.262805154956,-1239.9494585100078,-1267.4400535847299,-216.56861714246313,3729.066290096606,-827.4988117741226,-606.5485017025525,-721.4489083384716,-511.9579002261892
2007-08-10,417.42293300330925,98.83470755345554,374.5168799947978,114.40129345633076,313.2227687271779,252.34119371258254,231.18350639920075,91.4014865721094,1840.705368441129,-0.8496254717323457,136.4825153172307,99.39509164003562,84.96338548437727
2007-08-13,-246.99354526363916,-48.05947649870218,-214.0404196469947,-56.28852259353139,-89.76910899657693,-152.263709244912,-125.61912892900745,-31.120231573757412,149.4945807020464,-77.28221578543729,-93.3043646113456,-43.84316157592233,-35.31288237056539
2007-08-14,-1099.7571613665514,-482.7387853141472,-1634.930881362067,-1211.9110988813957,-2113.395718646994,-961.2758526163826,-951.3381806080301,-175.04815849793522,2438.834165382301,-607.8714289357724,-489.61104134220625,-512.2983072318018,-368.51478864218006
2007-08-15,-847.1791047704202,-384.7102082284292,-1295.4723526094986,-984.2336358474312,-1704.5756451549112,-756.5862884279682,-752.3131069391565,-132.64975821348696,2202.415368298588,-496.9536052189004,-383.5260907618305,-409.30149446792507,-292.73690729204463
2007-08-16,1295.4313332430925,417.288547680045,1506.9743889792862,838.4453346631778,1578.133810405679,947.0395366424925,892.4171863836302,225.42999370405872,539.4724112019029,405.00573593522137,506.4877318733237,429.8254640922317,327.59732889796976
2007-08-17,1252.0927423496921,570.2291879470608,1911.369849496484,1450.3208865031806,2541.2675822313654,1114.431882285986,1112.694084154794,204.78102176884704,-2749.744778060155,701.3410634670689,561.1994243913573,607.9253406772548,436.6168773328121
2007-08-20,-78.48224936266331,-26.4552575743071,-89.49697124888895,-48.44405232636489,-110.46976435446047,-55.0836627563892,-54.759046617504005,-19.27379022865113,-356.03287040955826,-3.400364952794603,-27.10343008904932,-28.103046859576217,-22.484115044107117
2007-08-21,85.35576153263176,42.094411940261566,139.65980234956626,112.0186400302886,191.95233434107485,80.24353261918718,80.80520093710705,13.042963838695126,-290.88437935171373,56.50465444704837,40.1156545913787,45.075518561103166,31.871735854579622
2007-08-22,714.6762470070206,322.8786585965217,1089.5692825072233,825.6274841702732,1425.9468696009749,637.1877971246107,632.4231932368482,110.61624216684284,-1911.361624997956,421.93101046114526,323.8417419609849,343.19338508301064,245.31240364836998
2007-08-23,-408.7080357058054,-126.07973932027593,-472.12660334415085,-259.4206987581247,-445.66705819837927,-300.90290331005843,-275.73441601637995,-58.01486577986266,542.4320873124094,-172.7574566974246,-167.09836983265086,-127.50008451030358,-95.09517237460626
2007-08-24,680.2414967127331,315.2688054111012,1061.665261934711,820.343762484307,1401.086311545649,618.1345348403611,614.4886213430832,101.30942750448041,-2178.4667519817463,430.05208669965054,314.05005441829275,335.406666077859,238.1526135127545
2007-08-27,-647.3117606724228,-273.77663945486654,-933.6669358304462,-673.0354088426146,-1181.5004453431554,-553.1403241051083,-544.3373107474675,-104.31550728122691,1203.9387756750696,-336.6358526947478,-283.398437528813,-289.6455589917991,-209.60520225129522
2007-08-28,-1554.2854932873493,-671.9141021042374,-2280.4605258108913,-1670.3945331646191,-2927.01647530014,-1344.7539743090772,-1328.6001611276733,-250.49971385230114,3105.056640283085,-830.5426015462157,-685.8867207943655,-712.390276655545,-514.1083387700721
2007-08-29,1282.8860717725474,569.713376333828,1927.3596167877695,1442.0336147603132,2501.9951359338497,1130.8488820903663,1120.1040416195299,201.13874321094403,-3128.246874081352,731.70510716388,575.7874957901845,604.8898471899709,433.81851032130436
2007-08-30,-392.2567061329702,-147.4532909449683,-510.75286600872334,-330.5917213818046,-610.9921183500294,-309.67549202246937,-301.1925242143678,-70.08764162450477,38.752921076829715,-147.57713482628998,-159.92893688823207,-154.9152326864847,-115.45760442798985
2007-08-31,634.7745204133878,286.15220215302804,965.8596923435081,730.66255772521,1262.9816191669747,565.0653705176371,560.7370556969348,98.50679300081428,-1672.7207137407067,372.74157313666694,287.21705641703704,304.1252783060412,217.49996951443669
2007-09-04,539.6982557352563,257.4283809618978,857.241588097299,672.0343663203531,1163.6719300653647,495.4654140243496,497.40789820638685,85.46500504267499,-1527.9751013130976,331.62950646691706,248.24661974189354,275.22609790143537,195.9712265669033
2007-09-05,-695.7904330668443,-295.27890001086445,-1003.9137814615643,-723.981617603495,-1279.7622761745204,-593.9864909154372,-586.0887332316614,-114.78724542859952,1147.5647716181863,-352.5189418671371,-303.0920573345778,-312.82898474730166,-226.88061143964327
2007-09-06,111.59367519976387,64.18095361843388,209.9974083203557,184.9240311626498,302.80904603514955,117.65198448548449,119.88202672013361,13.501949508687483,-731.4067076880312,102.42438949217586,58.40100414118505,69.12888592773645,47.354934342382336
2007-09-07,-966.5671543744158,-429.0668389272696,-1456.254346347763,-1092.103893769707,-1876.945553508323,-855.2013532786725,-844.6419891621903,-146.31585833728775,2671.5833609803403,-572.3793717994295,-437.49402518217477,-454.8929427160908,-325.08173218564076
2007-09-10,-432.4972374127223,-143.60357451777415,-518.4040365955993,-301.29461361841794,-547.4193559706835,-323.9523709082768,-305.1372147533627,-70.81679208577005,153.2346447932533,-159.95981405095603,-173.8791558553228,-147.93620081331642,-111.1633497732039
2007-09-11,634.1790065577176,306.1014218212009,1023.7862941467972,812.6192307198518,1379.0967623144656,591.4106563080692,591.3086145753433,92.55910925395969,-2326.335880163839,427.3607032876573,298.68205866940593,326.62663951267035,230.489446934337
2007-09-12,-185.78856066030303,-39.026354771227204,-161.31305218320222,-43.05335628720998,-96.63511912395205,-112.40748344613864,-97.19555724039206,-31.77228422264856,-352.3449437889388,-28.38767766506741,-65.270675674277,-37.361340925757624,-31.32743281793107
2007-09-13,247.48824568941916,144.6023254498931,459.6226275373691,401.9797772435618,704.2644242924295,254.56503029722725,266.64524238144645,43.77335069046755,-816.5943721425197,174.1450267262322,120.4665887069939,157.6605758321515,111.04870736631365
2007-09-14,130.95687485929926,39.51538700592823,149.90897595320484,81.15974204088148,135.8272250070932,96.12708922591447,87.24829864766073,17.4745838442086,-228.32272283572792,58.55021938115736,54.00931599260178,39.68835348886446,29.463821532404534
2007-09-17,-500.59935121608663,-197.2442957378603,-686.8614836797103,-470.82283471527,-818.9816639129449,-413.6519003741328,-400.1722100540372,-76.93506969980818,943.013730648192,-253.36130597937625,-216.4381677286832,-206.69238310275009,-150.1574609681374
2007-09-18,2125.633370338369,893.406912865676,3054.225973246945,2193.4606876108373,3840.0987753687,1812.330288712707,1779.8307449188358,338.9161110284681,-4090.6244744160886,1111.6546862180185,931.1246952010473,944.1506287842263,682.9810408611211
2007-09-19,679.5081407181974,249.69487775993645,879.7623747897976,565.2390198179824,1007.1104158692468,537.4487498423259,515.4220734228354,109.73970118196449,-690.2738674046132,294.513924260862,283.2590915924848,260.23738378946155,192.07436854573223
2007-09-20,-618.183464226244,-243.92913766993743,-841.7552152842981,-572.6205213894658,-1024.932027103232,-505.7675817092455,-493.11874735250956,-103.43336330562653,658.458557890448,-278.9961744860444,-261.3774587012496,-256.69988701748514,-188.33790443069057
2007-09-21,11.408913593279566,39.37648974833567,112.52636170985444,146.96480663644553,228.1811865751566,52.37638097930961,61.78443174825493,-3.0632186646473043,-831.1822867012077,79.02276476057158,21.395150445053247,44.679848213542066,27.84464330352141
2007-09-24,-621.0355160901973,-212.96088429673398,-756.6655580510557,-450.13116636723083,-836.6449545753834,-468.70062991338466,-446.9718218351491,-108.16230500338388,-72.56924262021873,-213.62349761118512,-247.56532650911225,-221.08680706119324,-166.67956237197583
2007-09-25,-342.668907341685,-107.90411166026003,-391.18441741034184,-211.34053546481982,-403.43423674322173,-247.0468332358829,-232.20278348932862,-60.61401914848222,-239.09934715558592,-99.3120778444519,-132.34869131389547,-110.93852386331328,-85.12303231674125
2007-09-26,330.293018104366,149.41472555053298,507.1842136418866,386.5664754945295,655.4073715393826,297.0033644502584,293.23176575315205,47.5649995629368,-1102.0536572316216,209.82557134563152,152.2841536123139,158.39359229588052,112.40001100778608
2007-09-27,365.6627720904044,154.2552747634752,528.8359546502272,382.0904721280538,661.1328161526417,313.83612856085415,307.4278885498895,56.103178889743035,-845.518638161223,201.08483977517292,161.9623052264173,162.8040099729277,117.22075501213482
2007-09-28,-413.5656368365073,-149.89406276191656,-533.1697694445875,-340.6934573393892,-595.0964645840355,-327.1254236082822,-311.3084347041194,-63.092169174145006,613.6976993474048,-191.16435037080637,-174.27060021218878,-155.5131849931096,-114.19589719934962
2007-10-01,1093.250306433355,431.93146627838826,1500.8385167688878,1029.453437924999,1799.3750347083405,903.0071324150202,875.1788505785473,170.64505803720942,-1917.3877469979673,544.3794986231948,471.2324655669226,453.08223915307246,329.6237981193189
2007-10-02,329.5119548571224,88.81813558351413,340.35934477467714,152.66820510530752,289.4075052388911,223.36610639033373,201.94088111785265,53.85057244137429,182.43026397049204,90.66707485829927,124.8665021560636,88.74992789311972,69.35096682134619
2007-10-03,-335.70369786573946,-128.81621951890054,-448.97516288108125,-299.44347737187843,-531.5916254325842,-271.6365081695999,-262.7036177472966,-54.39541873226565,411.0734732486624,-153.1492573514744,-141.84870447141222,-134.93644395661218,-99.00626199486287
2007-10-04,120.88699379986743,51.792299759611865,174.87531929805004,126.45701354686464,226.6909026943448,103.13365862469304,102.37424878782605,20.910845900564556,-147.9416222345191,58.04765597821916,52.1497877283796,55.04145405741715,40.08687424576283
2007-10-05,918.9930825582647,372.38130805925994,1288.4484246911697,903.066357275932,1566.8447922315188,771.2697156991646,749.9340414926644,141.0036931965471,-1897.8283087348107,481.8611680719325,401.3374327896328,391.37325493423265,283.22961572206884
